         16155665 function calls (14811753 primitive calls) in 120.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  119.740  119.740 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/user_webservice/webservice.py:45(POST)
      2/1    0.000    0.000  119.715  119.715 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/user_webservice/helper.py:21(process_polygon_array)
        1    0.000    0.000  119.714  119.714 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/scenario/scenario_manager.py:67(run_scenarios)
      233    0.007    0.000   78.168    0.335 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cheroot/connections.py:94(select)
        1    0.001    0.001   75.328   75.328 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/scenario/scenario_manager.py:43(generate_output)
        1    0.000    0.000   75.228   75.228 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/transformation/file_to_db.py:23(upload_geojson)
        1    0.000    0.000   75.227   75.227 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/api.py:103(post)
        1    0.000    0.000   75.227   75.227 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000   75.227   75.227 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000   75.193   75.193 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:673(send)
        1    0.000    0.000   75.193   75.193 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/adapters.py:613(send)
        1    0.000    0.000   75.192   75.192 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
        1    0.000    0.000   75.191   75.191 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
        1    0.000    0.000   75.191   75.191 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:322(request)
        1    0.000    0.000   75.190   75.190 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1320(endheaders)
        1    0.000    0.000   75.190   75.190 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1082(_send_output)
        1    0.000    0.000   75.190   75.190 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1027(send)
        1    0.006    0.006   75.190   75.190 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:235(connect)
      233    0.038    0.000   73.189    0.314 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/selectors.py:558(select)
     7890    0.856    0.000   45.354    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:365(__geo_interface__)
        1    0.000    0.000   42.152   42.152 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/scenario/scenario_manager.py:36(prepare)
        1    0.000    0.000   42.150   42.150 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/data_preparation.py:40(run)
        1    0.000    0.000   41.954   41.954 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/data_preparation.py:28(extract_buildings)
        1    0.027    0.027   41.576   41.576 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/data_preparation.py:20(select_census_sections)
        1    0.000    0.000   41.549   41.549 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/census_selector.py:56(run)
        1    0.000    0.000   41.508   41.508 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/census_selector.py:24(select_census_sections)
        1    0.000    0.000   41.501   41.501 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/preparation/read_data/census_selector.py:15(load_initial_data)
        5    0.000    0.000   39.575    7.915 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:173(_read_file)
        5    0.454    0.091   39.575    7.915 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:297(_read_file_fiona)
1269058/7890    1.871    0.000   34.661    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:386(default)
1295018/1294904    1.670    0.000   29.945    0.000 <frozen _collections_abc>:892(__iter__)
  1279986   26.074    0.000   27.532    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:137(__getitem__)
    20004    0.362    0.000   21.660    0.001 {built-in method builtins.hasattr}
     3945    0.810    0.000   12.932    0.003 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/geo.py:56(shape)
173531/173484    2.877    0.000    8.141    0.000 {built-in method posix.stat}
      233    7.092    0.030    7.155    0.031 {method 'control' of 'select.kqueue' objects}
       81    0.316    0.004    3.327    0.041 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:666(run)
       21    0.002    0.000    2.709    0.129 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/feature_factory.py:50(run_feature)
3109061/3106796    1.269    0.000    2.639    0.000 {built-in method builtins.isinstance}
 1202/352   67.008    0.056    2.148    0.006 {built-in method time.sleep}
        1    0.001    0.001    2.096    2.096 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/scenario/scenarios.py:8(run_scenario)
       12    0.001    0.000    2.089    0.174 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/__init__.py:94(open)
       81    0.248    0.003    1.354    0.017 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:626(sysfiles)
   182970    0.211    0.000    1.264    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:635(_file_for_module)
     3949    0.054    0.000    1.170    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/multipolygon.py:49(__new__)
  1296484    0.561    0.000    1.167    0.000 <frozen abc>:117(__instancecheck__)
    21041    0.179    0.000    1.016    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/decorators.py:62(wrapped)
  1297214    1.005    0.000    1.005    0.000 {method 'update' of 'dict' objects}
     4588    0.032    0.000    0.979    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/polygon.py:221(__new__)
        4    0.002    0.000    0.934    0.234 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/features.py:307(features_from_polygon)
        3    0.000    0.000    0.922    0.307 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/data_manager/utility.py:115(_get_osm_data)
        3    0.000    0.000    0.824    0.275 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/data_manager/osm_check.py:19(get_data_from_osm)
        4    0.007    0.002    0.816    0.204 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/features.py:403(_create_gdf)
        1    0.000    0.000    0.808    0.808 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/neighbours_ids.py:16(run)
        1    0.001    0.001    0.805    0.805 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/neighbours_ids.py:42(calculate_neighbours_ids)
        1    0.008    0.008    0.800    0.800 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/features_collection/features/neighbours_ids.py:52(_add_neighbour_ids)
        7    0.000    0.000    0.765    0.109 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1157(to_file)
        7    0.000    0.000    0.764    0.109 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:489(_to_file)
   182970    0.173    0.000    0.716    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:651(_file_for_file_module)
        3    0.000    0.000    0.676    0.225 /Users/saeidzolfaghari/PycharmProjects/Automatic_Scenario_creation/model_extraction/data_manager/osm_check.py:38(fetch_osm_data)
     5153    0.090    0.000    0.610    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/polygon.py:62(__new__)
  1296484    0.604    0.000    0.607    0.000 {built-in method _abc._abc_instancecheck}
     1196    0.012    0.000    0.604    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:1453(__getitem__)
  1304730    0.516    0.000    0.564    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/fiona/model.py:130(_props)
        8    0.002    0.000    0.562    0.070 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/_overpass.py:372(_download_overpass_features)
        7    0.000    0.000    0.557    0.080 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/io/file.py:617(_to_file_fiona)
      140    0.016    0.000    0.556    0.004 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/shapely/geometry/base.py:430(buffer)
        4    0.001    0.000    0.534    0.134 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/_overpass.py:233(_make_overpass_polygon_coord_strs)
   178272    0.100    0.000    0.533    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/cherrypy/process/plugins.py:659(_make_absolute)
        8    0.000    0.000    0.531    0.066 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/osmnx/projection.py:29(project_geometry)
        5    0.024    0.005    0.508    0.102 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/geopandas/geodataframe.py:567(from_features)
